event	date	time	azim	elev	distance	radialvelocity	group_id
AOS	06/18/2023	06:03:36	239.76008408512118	4.182031736816746e-07	2331.9729184585303	-6586.47739594401	1
	06/18/2023	06:04:00	241.1436604196666	1.4254993954778146	2178.914051804241	-6536.060531749716	1
	06/18/2023	06:05:00	245.77884924493955	5.5934874914343675	1792.499137908303	-6318.928817300535	1
	06/18/2023	06:06:00	252.96214347392387	10.821647694601927	1425.167570268016	-5870.113907532417	1
	06/18/2023	06:07:00	265.203109660025	17.615899571837907	1098.4389301533272	-4890.45047527072	1
	06/18/2023	06:08:00	287.51823496682505	25.35237725665973	861.7846926802872	-2735.4608175958933	1
MAX	06/18/2023	06:08:46	313.84352616604986	28.3678979454633	795.1901137717343	5.983725624609457	1
	06/18/2023	06:09:00	321.6984869521761	28.103754977685803	800.686311439785	830.1348767955708	1
	06/18/2023	06:10:00	351.52596599501635	22.07622470115405	949.7268125933903	3876.2985989294652	1
	06/18/2023	06:11:00	8.676542494055315	14.467684533703862	1234.4681650853254	5411.256827497522	1
	06/18/2023	06:12:00	18.28387935017917	8.423849250276355	1582.3867844217825	6096.960485559075	1
	06/18/2023	06:13:00	24.200948023295	3.731538113553905	1958.9867224807335	6417.620712423491	1
LOS	06/18/2023	06:13:58	28.09971057552727	-4.5956281466524285e-07	2338.153263892834	6569.555266892872	1
AOS	06/18/2023	07:45:05	314.96532018788866	5.917788000238656e-07	2337.348507229868	-1474.7870232988205	2
	06/18/2023	07:46:00	324.91514214986546	0.47222358826274907	2285.7615021792694	-390.5132150020416	2
MAX	06/18/2023	07:46:19	328.52789510301227	0.508024960559439	2282.0113041594273	7.342701308229825	2
	06/18/2023	07:47:00	335.9692790953267	0.3559360729665533	2298.8936036292434	824.2591767236769	2
LOS	06/18/2023	07:47:34	342.09698065265724	-5.179709767959073e-07	2338.4416069200724	1486.4481049021012	2
AOS	06/18/2023	12:41:39	7.6048353501069625	1.1413584617574218e-07	2342.9651804965974	-2773.4835905771165	3
	06/18/2023	12:42:00	11.116921030392348	0.491422622854797	2288.913385534058	-2417.856872033605	3
	06/18/2023	12:43:00	22.054067025679583	1.541171213100448	2177.7496949269075	-1257.0903172862845	3
MAX	06/18/2023	12:43:58	33.44221464441847	1.9040120081539247	2140.7068024735145	0.5707069055792915	3
	06/18/2023	12:44:00	33.75291180686258	1.9037432518335102	2140.7349432829637	35.13115247675432	3
	06/18/2023	12:45:00	45.42989513459645	1.5013283027402564	2181.933000914156	1325.7326333441251	3
	06/18/2023	12:46:00	56.30791554735116	0.4173545159966365	2297.1084108598684	2482.7311744516746	3
LOS	06/18/2023	12:46:17	59.24473672310006	-9.84013171461957e-07	2343.109140245272	2781.858926460264	3
AOS	06/18/2023	14:16:03	328.24039818002854	1.621715123441407e-06	2343.0650453137027	-6734.096329323313	4
	06/18/2023	14:17:00	330.9560034572394	3.746522054777211	1962.9168487644279	-6653.289190072473	4
	06/18/2023	14:18:00	335.2140535362865	8.700404932508198	1568.806417154337	-6457.027968976067	4
	06/18/2023	14:19:00	342.3738255835659	15.485359539856402	1193.1806770046358	-5996.582182562062	4
	06/18/2023	14:20:00	356.5940306735876	25.502122094609184	863.2742761553998	-4804.970659551718	4
	06/18/2023	14:21:00	29.205991354305116	37.24596993780573	654.9325492238108	-1712.5568788135922	4
MAX	06/18/2023	14:21:22	47.44882347966552	38.80111780918592	635.6462549886351	-2.115848372460882	4
	06/18/2023	14:22:00	76.83991706639736	34.668658284793956	690.1582847317463	2769.3738570729865	4
	06/18/2023	14:23:00	103.1647325671263	22.484175324172128	942.0160970200579	5241.744945924175	4
	06/18/2023	14:24:00	114.8046283588048	13.440277873447357	1288.6500303712546	6165.346969149367	4
	06/18/2023	14:25:00	120.92401978798341	7.24063948973465	1671.1973445739966	6534.209514312121	4
	06/18/2023	14:26:00	124.65783966426301	2.6027906238299323	2068.7217739005555	6694.961749175934	4
LOS	06/18/2023	14:26:40	126.4489275070465	-1.4235331895511296e-06	2340.2298286320306	6747.352819671721	4
AOS	06/18/2023	15:53:36	287.3177056734049	1.7010661736192216e-06	2342.71732755562	-5282.5351483817885	5
	06/18/2023	15:54:00	284.39330387838316	1.135326536347227	2219.588341968938	-5053.700811760359	5
	06/18/2023	15:55:00	275.4107045023995	4.008857970202203	1938.3034388790036	-4266.174838541606	5
	06/18/2023	15:56:00	263.64500989911437	6.665685667076789	1715.5829874157391	-3083.5060392168543	5
	06/18/2023	15:57:00	248.98028809059753	8.554446539245482	1577.3859226583868	-1453.4759720212007	5
MAX	06/18/2023	15:57:45	236.5622795940081	9.046282458430587	1543.7348553733887	-8.106279187485617	5
	06/18/2023	15:58:00	232.57157104718772	8.995710695821568	1546.9925630673292	458.82147770024864	5
	06/18/2023	15:59:00	216.7449195565359	7.787281740337956	1630.3932714324903	2272.102455688815	5
	06/18/2023	16:00:00	203.3931105469558	5.443319429275654	1811.4669919170954	3686.6333134018355	5
	06/18/2023	16:01:00	192.9784363848195	2.6361435612753152	2063.8808522962277	4660.3047033834955	5
LOS	06/18/2023	16:01:55	185.62196907893974	-8.806801909507043e-07	2338.299780777564	5251.6876351884475	5
